date,dividend
2020-07-10 08:00:00,-0.0001
2020-07-10 16:00:00,0.00301393
2020-07-11 00:00:00,-4.111e-05
2020-07-11 08:00:00,-1.285e-05
2020-07-11 16:00:00,-0.0001
2020-07-12 00:00:00,-0.0001
2020-07-12 08:00:00,-0.0001
2020-07-12 16:00:00,-0.0001
2020-07-13 00:00:00,-0.00026293
2020-07-13 08:00:00,-0.0001
2020-07-13 16:00:00,-1.96e-06
2020-07-14 00:00:00,0.00070381
2020-07-14 08:00:00,0.00122571
2020-07-14 16:00:00,-0.0001
2020-07-15 00:00:00,-0.0001
2020-07-15 08:00:00,0.00017488
2020-07-15 16:00:00,0.00077381
2020-07-16 00:00:00,4.99e-05
2020-07-16 08:00:00,-0.0001
2020-07-16 16:00:00,-0.0001
2020-07-17 00:00:00,-0.00016338
2020-07-17 08:00:00,-0.0001
2020-07-17 16:00:00,-0.0001
2020-07-18 00:00:00,-0.0001
2020-07-18 08:00:00,-0.0001
2020-07-18 16:00:00,-0.0001
2020-07-19 00:00:00,-0.0001
2020-07-19 08:00:00,-0.0001
2020-07-19 16:00:00,0.00012246
2020-07-20 00:00:00,-0.0001
2020-07-20 08:00:00,-0.0001
2020-07-20 16:00:00,-0.0001
2020-07-21 00:00:00,0.00014116
2020-07-21 08:00:00,-0.0001
2020-07-21 16:00:00,-0.0001
2020-07-22 00:00:00,-0.0001
2020-07-22 08:00:00,-0.0001
2020-07-22 16:00:00,-0.0001
2020-07-23 00:00:00,-0.0001
2020-07-23 08:00:00,-0.0001
2020-07-23 16:00:00,-0.0001
2020-07-24 00:00:00,-0.0001
2020-07-24 08:00:00,-0.0001
2020-07-24 16:00:00,0.00012831
2020-07-25 00:00:00,-0.0001
2020-07-25 08:00:00,-0.0001
2020-07-25 16:00:00,-0.0001
2020-07-26 00:00:00,-0.0001
2020-07-26 08:00:00,-0.0001
2020-07-26 16:00:00,-0.0001
2020-07-27 00:00:00,-0.0001
2020-07-27 08:00:00,-0.0001
2020-07-27 16:00:00,-0.0001
2020-07-28 00:00:00,-0.0001
2020-07-28 08:00:00,-0.0001
2020-07-28 16:00:00,-0.0001
2020-07-29 00:00:00,-0.00020606
2020-07-29 08:00:00,-0.0001
2020-07-29 16:00:00,-0.0001
2020-07-30 00:00:00,-0.0001
2020-07-30 08:00:00,-0.0001
2020-07-30 16:00:00,-0.00040705
2020-07-31 00:00:00,-0.0001
2020-07-31 08:00:00,-0.0001
2020-07-31 16:00:00,-0.0001
2020-08-01 00:00:00,-0.0001
2020-08-01 08:00:00,-0.00068087
2020-08-01 16:00:00,-0.0001
2020-08-02 00:00:00,-0.00137919
2020-08-02 08:00:00,-0.0001
2020-08-02 16:00:00,-0.0001
2020-08-03 00:00:00,-0.0001
2020-08-03 08:00:00,-0.0001
2020-08-03 16:00:00,-0.0001
2020-08-04 00:00:00,-0.0001
2020-08-04 08:00:00,-0.0001
2020-08-04 16:00:00,-0.00047835
2020-08-05 00:00:00,-0.0003325
2020-08-05 08:00:00,-0.0001
2020-08-05 16:00:00,-0.0001
2020-08-06 00:00:00,-0.00017576
2020-08-06 08:00:00,-0.00060956
2020-08-06 16:00:00,-0.00045661
2020-08-07 00:00:00,-0.0001
2020-08-07 08:00:00,-0.00047011
2020-08-07 16:00:00,-0.0001
2020-08-08 00:00:00,-0.0001
2020-08-08 08:00:00,-0.0001
2020-08-08 16:00:00,-0.0001
2020-08-09 00:00:00,-0.0001
